x1	x2	x3	x4	x5	x6	y
2012917	35	4966105	8	2495836	12153756	578
2013417	192	6164004	3	2497723	12153767	396
2012750	16	4066587	0	2494297	12150342	116
2013500	85	1048101	5	2496674	12154067	555
2012833	0	1854296	0	249711	1215317	552
2012917	137	1236564	1	2497694	12155391	306
2013417	0	2929978	6	2497744	12154458	736
2013417	282	3300854	8	2497408	12154011	434
2013083	276	5151122	5	2496299	1215432	374
2013417	84	1962628	1	2495468	12155481	235
2013333	24	4527687	0	2494741	12149628	144
2013083	36	3838624	5	2498085	12154391	588
2013583	66	9045606	9	2497433	1215431	581
2013083	413	4018807	4	2498326	1215446	351
2013417	43	4320385	7	249805	12153778	452
2013083	302	4721745	3	2497005	12153758	365
2012833	139	4573779	0	2494867	12149507	192
2013083	33	1810766	9	2497697	12154262	42
2013500	131	1144436	4	2499176	12153456	367
2013083	14	4388513	1	2497493	1215273	426
2012667	269	444927	0	2494898	12149621	155
2013167	116	2018939	8	2498489	12154121	559
2013500	135	2147376	3	2496299	12151284	236
2013500	17	4082015	0	2494155	12150381	188
2012750	141	2615465	0	2495495	12156174	218
2012750	314	1447286	3	2497285	1215173	215
2013167	209	2185128	3	2496322	12151237	257
2013000	89	3078176	0	2495464	12156627	22
2012917	348	1900392	8	2497707	12154312	443
2012917	163	4066587	0	2494297	12150342	205
2013500	353	6165735	8	2497945	12153642	423
2013167	132	7500704	2	2497371	12154951	378
2013167	438	5758945	7	249675	12154069	427
2013417	97	421479	5	2498246	12154477	493
2013500	152	3771895	0	2493363	12151158	293
2013333	152	4611016	5	2495425	1215399	346
2013000	228	7079067	2	24981	12154713	366
2013250	344	1267286	8	2496881	12154089	482
2013083	34	1576052	7	2496628	12154196	391
2013417	182	4516419	8	2496945	1215449	316
2013417	174	9957554	0	2496305	12154915	255
2013417	131	5619845	5	2498746	12154391	459
2012917	383	6426985	3	2497559	12153713	315
2012667	156	2893248	5	2498203	12154348	461
2013000	18	1414837	1	2495182	12154887	266
2013083	128	1449722	3	2497289	12151728	214
2013250	222	3795575	10	2498343	12153762	44
2013083	385	6650636	3	2497503	12153692	342
2012750	115	1360139	1	2495204	12154842	262
2012833	348	1756294	8	2497347	12154271	409
2013500	52	3905684	5	2497937	12154245	522
2013083	0	2740144	1	249748	12153059	435
2013333	176	1805665	2	2498672	12152091	311
2013083	62	9045606	9	2497433	1215431	58
2013583	181	178318	3	2496731	12151486	209
2013333	192	3837129	8	24972	12154477	481
2013250	378	5909292	1	2497153	12153559	397
2012917	28	3726242	6	2497838	12154119	408
2013417	136	4922313	5	2496515	12153737	438
2012750	293	5297771	8	2498102	12153655	402
2013333	372	1865101	9	2497703	12154265	783
2013333	9	1402016	0	2498569	1215276	385
2013583	306	4311114	10	2498123	12153743	485
2013250	91	1402016	0	2498569	1215276	423
2013333	345	3249419	6	2497814	1215417	46
2013250	11	1935845	6	2496571	12154089	49
2013000	165	4082015	0	2494155	12150381	128
2012917	324	2650609	8	2498059	12153986	402
2013417	119	3171329	0	2500115	12151776	466
2013583	31	1156412	0	249489	12153095	19
2013500	4	2147376	3	2496299	12151284	334
2012833	162	4074736	0	2494235	12150357	147
2012917	271	4412765	1	2495032	12149587	174
2013333	397	3333679	9	2498016	12153932	324
2013250	8	2216612	4	2496007	12151361	239
2012750	129	250631	7	2496606	12154297	393
2013167	36	3738389	10	2498322	12153765	619
2013167	13	7328528	0	2497668	12152518	39
2013083	128	7328528	0	2497668	12152518	406
2013500	181	8377233	0	2496334	12154767	297
2013083	11	1712632	2	2496412	1215167	288
2013500	137	250631	7	2496606	12154297	414
2012833	2	207739	3	2496357	12151329	334
2013417	328	2041705	8	2498236	12153923	482
2013083	48	1559827	3	2497213	12151627	217
2013417	75	6396198	5	2497258	12154814	408
2013417	164	3898219	6	2496412	12154273	406
2013333	217	1055067	0	2496211	12154928	231
2013000	19	1009235	0	2496357	12154951	223
2012833	18	6306153	1	2495743	12147516	15
2013167	392	4247132	7	2497429	12153917	30
2012917	317	1159454	0	249496	12153018	138
2012833	59	9045606	9	2497433	1215431	527
2012667	304	1735595	2	2496464	12151623	259
2012667	11	3299747	5	2498254	12154395	518
2013417	315	5512038	1	2495095	12148458	174
2012667	146	3392289	1	2497519	12153151	265
2013250	173	4441334	1	2497501	1215273	439
2013417	0	2929978	6	2497744	12154458	633
2013083	177	8377233	0	2496334	12154767	288
2013250	17	1485097	4	2497073	121517	307
2013167	162	2288011	3	2495885	12151359	244
2012917	159	2893248	5	2498203	12154348	53
2013417	39	2147376	3	2496299	12151284	317
2013167	326	493657	7	2496968	12154522	406
2012833	157	8159314	4	2497886	12153464	381
2013250	178	178318	3	2496731	12151486	237
2012833	347	4827581	5	2497433	12153863	411
2013417	172	3905684	5	2497937	12154245	401
2013000	176	8377233	0	2496334	12154767	23
2013333	108	2525822	1	249746	12153046	1175
2012917	177	4516419	8	2496945	1215449	265
2012750	13	4922313	5	2496515	12153737	405
2013417	132	1701289	1	2497371	12152984	293
2013167	275	3940173	7	2497305	12153994	41
2012667	15	2338284	7	2496772	12154102	497
2013000	191	4611016	5	2495425	1215399	34
2013417	212	2185128	3	2496322	12151237	277
2012750	0	2083905	6	2495618	12153844	44
2013417	26	155425	3	2497026	12151642	311
2013250	23	1843302	6	2496581	12154086	454
2013333	47	3877721	9	2498118	12153788	448
2012917	2	1455798	1	249512	121549	256
2013417	335	1978671	2	2498674	12151844	235
2012917	15	3832805	7	2496735	12154464	344
2013167	301	7182937	3	2497509	12153644	553
2012917	59	9045606	9	2497433	1215431	563
2013000	192	4611016	5	2495425	1215399	329
2013583	166	3236912	6	2497841	1215428	51
2013333	139	2893248	5	2498203	12154348	445
2013083	377	4903446	0	2497217	12153471	37
2012833	34	5647425	7	2495744	12153711	544
2013083	175	3956747	5	2495674	121534	245
2012667	126	3832805	7	2496735	12154464	425
2013500	264	3355273	6	249796	1215414	381
2013167	182	217959	3	2496299	12151252	218
2012750	125	1144436	4	2499176	12153456	341
2012833	349	5670349	4	2497003	1215458	285
2013333	167	4082015	0	2494155	12150381	167
2013167	332	1217262	10	2498178	12154059	461
2013083	25	1562442	4	2496696	12153992	369
2012750	38	4617848	0	2497229	12153445	357
2013500	165	2288011	3	2495885	12151359	232
2013500	383	4397105	0	2497161	12153423	384
2013417	20	1626083	3	2496622	12151668	294
2013083	162	2893248	5	2498203	12154348	55
2013500	144	1699803	1	2497369	12152979	502
2012833	103	307989	0	249546	12156627	247
2013417	164	2893248	5	2498203	12154348	53
2013250	303	126473	0	2494883	12152954	191
2013583	164	1643499	2	2495394	12155174	247
2013167	213	5377971	4	2497425	12153814	422
2013583	354	3185292	9	2497071	12154069	78
2013333	83	1048101	5	2496674	12154067	428
2013250	37	5779615	6	2497201	12154722	416
2013083	156	1756411	2	249832	12151812	273
2013250	133	250631	7	2496606	12154297	42
2012750	156	7527669	2	2497795	12153451	375
2013333	71	3795575	10	2498343	12153762	498
2013250	346	2726783	5	2495562	12153872	269
2012750	135	4197349	0	2493885	12150383	186
2012917	169	9647496	4	2498872	12153411	377
2013000	129	1874823	1	2497388	12152981	331
2013417	286	1971338	6	2497631	12154436	425
2012667	124	1712632	2	2496412	1215167	313
2013083	366	4888193	8	2497015	12154494	381
2013500	41	5647425	7	2495744	12153711	621
2013417	35	7573377	3	2497538	12154971	367
2012833	159	1497713	3	2497003	12151696	236
2013000	136	4197349	0	2493885	12150383	192
2013083	32	1156777	0	2494935	12153046	128
2013333	256	451969	0	2494826	12149587	156
2013167	398	6177134	2	2497577	12153475	396
2012750	78	1048101	5	2496674	12154067	384
2012917	30	1013341	5	2499006	1215346	228
2013583	273	3376016	6	2496431	12154063	365
2012833	51	1867233	2	2498407	12151748	356
2012833	313	6008604	5	2496871	12154651	309
2012917	315	258186	9	2496867	12154331	363
2013333	17	3299747	5	2498254	12154395	504
2013333	336	2708895	0	2497281	12153265	429
2013000	13	7500704	2	2497371	12154951	37
2012667	57	9045606	9	2497433	1215431	535
2013000	335	5632854	8	2498223	12153597	466
2013500	346	308517	0	24998	1215155	412
2012667	0	1854296	0	249711	1215317	379
2013417	132	1712632	2	2496412	1215167	308
2013583	174	6488021	1	2495719	12147353	112
2012833	46	2596607	6	2497585	12154516	537
2012750	78	1048101	5	2496674	12154067	47
2013000	132	4922313	5	2496515	12153737	423
2012833	4	2180245	3	2496324	12151241	286
2012833	184	2674961	3	2496143	12150827	257
2013500	41	2147376	3	2496299	12151284	313
2013417	122	1360139	1	2495204	12154842	301
2013250	38	3838624	5	2498085	12154391	607
2012833	103	2114473	1	2497417	12152999	453
2013417	0	3389679	9	2496853	12154413	449
2013167	11	1935845	6	2496571	12154089	451
2013500	56	2408993	0	2495505	12155964	247
2012667	329	8730222	10	24983	12154022	471
2013083	414	281205	8	2497345	12154093	633
2013417	171	9674	4	2498872	12153408	40
2013500	323	1099455	10	2498182	12154086	48
2013417	353	6141394	7	2497913	12153666	331
2012917	173	2261432	4	2496182	12151222	295
2012750	142	1801544	1	2495153	12155254	248
2012833	15	1828319	2	2496464	12151531	209
2013417	182	3508515	1	2497544	12153119	431
2012667	202	2185128	3	2496322	12151237	228
2012750	159	2893248	5	2498203	12154348	421
2013500	41	3128963	5	2495591	12153956	517
2013000	339	1576052	7	2496628	12154196	415
2013083	0	2740144	1	249748	12153059	522
2013250	54	3905684	5	2497937	12154245	495
2013250	217	1157988	0	2496165	12155011	238
2013417	147	1717193	2	2496447	12151649	305
2013333	39	4966105	8	2495836	12153756	568
2013333	373	5878877	8	2497077	12154634	374
2013333	0	2929978	6	2497744	12154458	697
2013333	141	2893248	5	2498203	12154348	533
2013417	8	1325469	9	2498298	12153981	473
2013000	163	3529564	0	2493207	12151597	293
2012667	291	5061144	4	2497845	12153889	403
2012750	161	4066587	0	2494297	12150342	129
2013000	183	8288643	10	24983	12154026	466
2012833	0	1854296	0	249711	1215317	553
2013250	162	2103555	3	2496042	12151462	256
2013500	104	2251938	4	2495957	12151353	273
2013250	409	1223619	8	2496756	1215423	677
2013500	328	3778302	9	2497151	1215435	386
2013583	62	1939749	1	2495155	12155387	313
2013083	427	443802	6	2497927	12153874	353
2013000	169	9674	4	2498872	12153408	403
2013500	326	4136271	1	2495544	1214963	247
2012917	212	5125487	4	24974	12153842	425
2012667	371	9186357	1	2497198	12155063	319
2013417	131	1164838	4	2499156	12153406	322
2013417	147	1717193	2	2496447	12151649	23
2012917	127	1701289	1	2497371	12152984	373
2013250	268	4827581	5	2497433	12153863	355
2013083	76	217503	3	2496305	12151254	277
2012833	127	1874823	1	2497388	12152981	285
2012667	309	161942	9	2498353	12153966	397
2013333	164	2893248	5	2498203	12154348	412
2012667	23	1309945	6	2495663	12153765	372
2013167	19	3721386	7	2497293	12154026	405
2013000	52	2408993	0	2495505	12155964	223
2013417	185	2175744	3	249633	12151243	281
2013000	137	4082015	0	2494155	12150381	154
2012667	56	9045606	9	2497433	1215431	50
2013250	188	3909696	7	2497923	12153986	406
2013000	81	1048101	5	2496674	12154067	525
2013500	65	9045606	9	2497433	1215431	639
